0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
21.4848484848,22.8484848485,21.2727272727,21.2121212121,21.2272727273,21.7575757576,22.4848484848,22.9242424242,25.0757575758,23.1818181818,22.4696969697,22.3939393939,21.9393939394,21.8787878788,22.1212121212,22.0606060606,21.2272727273,21.7575757576,22.5303030303,22.0757575758,21.4696969697,21.6515151515,22.1515151515,22.3636363636,22.1818181818,21.9242424242,21.8939393939,22.2575757576,21.5454545455,21.4242424242,21.3787878788,21.696969697,21.7575757576,21.3636363636,22.6363636364,22.0757575758,21.4545454545,21.8181818182,20.9696969697,20.9848484848,21.0151515152,20.6515151515,21.1666666667,21.1666666667,21.1666666667,21.2272727273,20.803030303,20.9393939394,21.0,20.8787878788,21.0,20.7424242424,21.1363636364,21.1363636364,21.2272727273,21.2878787879,20.6818181818,20.2121212121,20.3939393939,20.9696969697,20.9090909091,20.1666666667,20.6060606061,20.5151515152,20.9545454545,20.7727272727,20.6515151515
21.4848484848,22.4393939394,21.5303030303,21.303030303,21.2727272727,21.6666666667,22.8333333333,22.8484848485,24.1363636364,23.303030303,22.5757575758,22.6666666667,21.696969697,21.5757575758,22.2878787879,22.0303030303,21.5757575758,21.5757575758,22.5454545455,21.9545454545,21.5,21.4848484848,22.5303030303,22.2121212121,21.8636363636,21.6212121212,21.7878787879,22.6060606061,21.5909090909,21.2878787879,21.3333333333,21.7272727273,21.6212121212,21.4090909091,22.7878787879,21.9242424242,21.6515151515,21.5151515152,21.1212121212,20.8636363636,21.3333333333,20.6363636364,21.196969697,21.4090909091,21.1060606061,21.0606060606,21.0151515152,20.7727272727,20.8787878788,21.0606060606,20.803030303,20.9242424242,21.2424242424,21.0606060606,20.9393939394,21.2575757576,20.5454545455,20.2424242424,20.2121212121,21.0606060606,20.6515151515,20.3787878788,20.6212121212,20.4545454545,20.8787878788,20.8181818182,20.5757575758
21.3636363636,21.8181818182,21.1363636364,21.0757575758,20.4090909091,21.3787878788,22.6818181818,22.2272727273,24.5606060606,22.9545454545,22.2424242424,22.303030303,21.696969697,21.1666666667,22.0303030303,21.6666666667,20.8939393939,20.9848484848,22.303030303,21.303030303,21.2121212121,21.2424242424,22.0757575758,22.0606060606,21.9090909091,21.4242424242,21.3484848485,21.4696969697,21.196969697,21.2878787879,20.9848484848,21.7272727273,21.7424242424,21.3484848485,22.3939393939,22.0151515152,21.5757575758,21.5303030303,20.7878787879,20.5606060606,21.0303030303,20.5757575758,21.0303030303,20.8636363636,20.7878787879,20.4393939394,20.8484848485,20.8636363636,20.696969697,21.0454545455,20.7727272727,20.6363636364,20.8787878788,20.5757575758,20.6363636364,20.9090909091,20.5909090909,19.9393939394,19.8636363636,20.7878787879,20.5303030303,20.2272727273,20.803030303,20.1818181818,20.5909090909,20.5606060606,20.5909090909
21.6515151515,21.7121212121,20.9090909091,21.3333333333,21.1363636364,21.0606060606,22.1515151515,22.3636363636,26.0757575758,22.4696969697,21.6060606061,22.0909090909,21.2727272727,21.1515151515,21.7878787879,21.5,20.8181818182,21.2575757576,21.8787878788,21.4848484848,21.1212121212,21.2272727273,21.7727272727,21.8787878788,21.5454545455,21.0,21.2121212121,20.8939393939,20.9848484848,20.9242424242,20.5303030303,21.3939393939,21.8636363636,20.803030303,21.9545454545,21.7727272727,20.9848484848,21.5909090909,20.5454545455,20.7575757576,20.8939393939,20.2121212121,20.696969697,20.8939393939,20.3939393939,20.4696969697,20.7121212121,20.6666666667,20.3333333333,20.6515151515,20.5909090909,20.5,20.8181818182,20.5454545455,20.4696969697,20.7272727273,20.3333333333,19.8636363636,19.9090909091,20.696969697,20.0757575758,19.7878787879,20.4090909091,20.2575757576,20.2575757576,20.3333333333,20.1666666667
21.7727272727,21.6060606061,21.5909090909,22.1818181818,21.8333333333,21.5909090909,22.1363636364,22.3484848485,26.3939393939,23.1060606061,21.6666666667,21.9545454545,21.0606060606,21.1060606061,21.9393939394,21.2575757576,21.0606060606,21.3939393939,21.7878787879,21.4242424242,21.1515151515,20.9696969697,21.9242424242,21.696969697,21.0606060606,21.1060606061,21.0909090909,21.0454545455,21.1515151515,21.0454545455,20.5454545455,21.2727272727,21.5454545455,20.5454545455,21.8787878788,21.5303030303,20.9848484848,21.2878787879,20.7727272727,20.7424242424,20.8939393939,20.5,20.9696969697,21.0909090909,20.4696969697,20.4393939394,20.3636363636,20.7424242424,20.3484848485,20.7272727273,20.7121212121,20.5909090909,20.9242424242,20.6363636364,20.7424242424,20.9393939394,20.6363636364,19.6515151515,20.0757575758,20.6212121212,20.0454545455,19.8787878788,20.4090909091,20.0909090909,20.2727272727,20.196969697,20.0757575758
21.6212121212,21.8181818182,21.6515151515,21.7575757576,22.5454545455,22.5757575758,22.6212121212,22.696969697,26.5757575758,23.2878787879,22.2121212121,22.3484848485,21.0454545455,21.1060606061,21.7575757576,21.3333333333,21.2424242424,21.4848484848,21.803030303,21.3484848485,21.3939393939,20.8939393939,21.9545454545,21.7121212121,21.2575757576,20.7727272727,21.3787878788,21.0909090909,21.4090909091,21.0,20.6363636364,21.3787878788,21.6818181818,20.8939393939,22.0151515152,21.5909090909,21.0454545455,21.3333333333,21.1212121212,20.9696969697,20.8333333333,20.5757575758,20.8787878788,20.8484848485,20.3181818182,20.4393939394,20.4545454545,20.8939393939,20.6363636364,20.5606060606,20.3787878788,20.7575757576,20.6818181818,20.6818181818,20.9090909091,20.8939393939,20.6515151515,20.0606060606,20.1212121212,20.4545454545,20.0757575758,20.0151515152,20.4242424242,19.9393939394,20.2878787879,20.0757575758,20.303030303
21.4545454545,22.1818181818,21.5909090909,21.7272727273,22.0,23.1363636364,23.0454545455,22.6060606061,26.3939393939,22.8636363636,22.1515151515,22.1818181818,21.2878787879,21.4393939394,22.0,21.5151515152,21.2575757576,21.5454545455,21.803030303,21.5151515152,21.3636363636,20.9393939394,22.2121212121,22.0909090909,21.3333333333,21.196969697,21.2575757576,21.3333333333,21.6515151515,21.4242424242,20.803030303,21.3484848485,21.5,21.1515151515,22.3939393939,21.5909090909,20.9696969697,21.2121212121,20.6363636364,20.6666666667,20.9242424242,20.5,21.0151515152,20.803030303,20.5606060606,20.4696969697,20.6666666667,20.8333333333,20.6060606061,20.7727272727,20.3939393939,20.8181818182,20.7575757576,20.7575757576,20.8939393939,21.1666666667,20.7121212121,20.0606060606,20.0454545455,20.6060606061,20.3333333333,20.2272727273,20.5454545455,20.196969697,20.303030303,20.2575757576,20.5151515152
21.4848484848,21.8939393939,21.4545454545,21.9090909091,22.1515151515,22.9242424242,22.5757575758,22.6212121212,25.5909090909,22.303030303,22.196969697,21.9090909091,21.4848484848,21.5151515152,21.803030303,21.196969697,21.5,21.7424242424,21.8787878788,21.7121212121,21.2727272727,21.303030303,22.0909090909,21.8484848485,21.2727272727,21.5909090909,21.8636363636,21.2727272727,21.5909090909,21.4848484848,21.3181818182,21.303030303,21.3484848485,21.0757575758,22.0909090909,21.7272727273,21.2121212121,21.4090909091,20.6212121212,20.7272727273,20.9242424242,20.4848484848,21.1060606061,20.9090909091,20.7575757576,20.5606060606,20.5909090909,20.7424242424,20.6212121212,21.1212121212,20.6818181818,21.0606060606,20.6666666667,20.7424242424,20.803030303,21.303030303,20.4696969697,20.1666666667,20.0454545455,20.6818181818,20.3181818182,20.303030303,20.5151515152,20.2727272727,20.3939393939,20.4242424242,20.696969697
21.3181818182,22.0909090909,21.303030303,21.8939393939,22.0606060606,22.303030303,24.3333333333,22.2727272727,24.9848484848,22.8787878788,22.0909090909,22.0909090909,21.3333333333,21.9090909091,21.4545454545,21.3636363636,21.8181818182,21.6363636364,21.6060606061,21.9393939394,21.2878787879,21.5151515152,22.1060606061,22.1363636364,21.3636363636,21.5454545455,21.7727272727,21.4242424242,21.5,21.7121212121,21.5303030303,21.4393939394,21.5,21.196969697,21.9242424242,21.7575757576,21.3939393939,21.3484848485,20.7575757576,20.8333333333,20.7878787879,20.8333333333,21.5303030303,20.7727272727,20.8333333333,20.7878787879,20.4393939394,20.8939393939,20.7272727273,21.0909090909,20.8636363636,21.1515151515,21.1515151515,20.5909090909,20.8333333333,21.5757575758,20.7424242424,20.2272727273,20.0,20.5757575758,20.2727272727,20.2424242424,21.0,20.4848484848,20.5,20.8636363636,20.8484848485
21.3787878788,21.8939393939,21.3939393939,22.0303030303,21.7575757576,22.0909090909,24.3333333333,22.1666666667,24.9545454545,22.9848484848,22.1212121212,22.0606060606,21.6666666667,21.8636363636,21.6515151515,21.6363636364,21.6818181818,21.5454545455,21.2878787879,21.9242424242,21.303030303,21.7121212121,22.303030303,22.3636363636,22.0909090909,21.5151515152,21.5303030303,21.7272727273,21.5454545455,21.2272727273,21.4545454545,21.8333333333,21.4848484848,21.1666666667,22.0606060606,21.8939393939,21.6666666667,21.5909090909,20.9090909091,20.8181818182,20.9090909091,20.8787878788,21.303030303,21.196969697,21.0,20.9696969697,20.8181818182,21.196969697,20.6515151515,21.2121212121,21.0909090909,21.3181818182,21.303030303,20.803030303,20.9242424242,21.4393939394,21.0,20.2424242424,20.3787878788,20.9696969697,20.3939393939,20.2424242424,20.7878787879,20.4696969697,20.8939393939,20.8787878788,20.7727272727
21.5,21.9393939394,21.5454545455,21.803030303,21.6666666667,21.6363636364,24.0909090909,22.1363636364,24.8484848485,23.0454545455,22.1363636364,21.8636363636,21.7727272727,21.7575757576,21.8484848485,21.4242424242,21.6515151515,21.2878787879,21.3787878788,21.7878787879,21.5909090909,21.6363636364,22.0454545455,22.2878787879,22.0303030303,21.303030303,21.5303030303,21.7424242424,21.4696969697,21.4393939394,21.4848484848,22.1212121212,21.7575757576,21.1363636364,22.3939393939,21.6515151515,21.7878787879,21.5,20.6363636364,20.696969697,20.6515151515,20.7272727273,21.1515151515,21.0,21.1212121212,21.1212121212,21.0909090909,21.1515151515,20.7121212121,21.1666666667,21.2727272727,21.0454545455,21.0606060606,21.2272727273,21.2272727273,21.6515151515,20.8333333333,20.2272727273,20.5151515152,20.7272727273,20.1818181818,20.0909090909,20.6060606061,20.7727272727,20.9242424242,20.9090909091,20.6818181818
21.2575757576,21.8636363636,21.9545454545,21.9393939394,21.3787878788,21.8484848485,24.2878787879,22.2272727273,24.0909090909,22.6060606061,21.9090909091,22.0151515152,21.7272727273,21.8484848485,21.7272727273,21.5151515152,21.6060606061,21.4090909091,21.4545454545,21.7575757576,21.4848484848,21.6060606061,22.1212121212,22.1363636364,21.6212121212,21.3787878788,21.5454545455,21.6363636364,21.4242424242,21.5757575758,21.4090909091,21.6666666667,21.6515151515,21.1212121212,22.4090909091,21.6060606061,21.6515151515,21.4545454545,20.696969697,20.8181818182,20.6363636364,20.7424242424,21.0909090909,20.8787878788,21.1515151515,21.2121212121,20.8333333333,21.1212121212,21.0151515152,21.1212121212,21.0151515152,21.1818181818,21.3939393939,21.2878787879,21.0,21.2121212121,20.6212121212,20.2575757576,20.5606060606,20.6363636364,20.3333333333,20.4848484848,20.803030303,20.6212121212,20.803030303,20.696969697,20.8787878788
21.4242424242,21.4242424242,21.7727272727,21.4242424242,21.0606060606,21.6060606061,24.1818181818,22.2878787879,23.7575757576,22.5757575758,22.2424242424,22.303030303,21.4696969697,21.696969697,21.5909090909,21.696969697,21.6666666667,21.6666666667,21.696969697,21.6818181818,21.3636363636,21.4545454545,22.3181818182,22.0151515152,21.5303030303,21.5,21.3787878788,21.2272727273,21.3484848485,21.4696969697,21.7121212121,21.5606060606,21.6060606061,21.2575757576,22.0909090909,21.3484848485,21.7878787879,21.4242424242,20.9090909091,20.6666666667,20.5757575758,20.5151515152,21.2878787879,20.7424242424,21.1818181818,21.0454545455,21.0303030303,21.2121212121,21.0454545455,20.7575757576,20.9090909091,21.1666666667,21.3636363636,21.4242424242,21.1515151515,21.4242424242,20.8333333333,20.2878787879,20.5303030303,20.7575757576,20.5909090909,20.3484848485,21.0606060606,20.6666666667,20.9090909091,21.0606060606,20.7272727273
21.4848484848,21.6515151515,22.0303030303,21.2272727273,21.5909090909,21.4242424242,24.5454545455,22.303030303,23.9696969697,22.6818181818,22.1060606061,22.2424242424,21.7121212121,21.7121212121,21.7575757576,21.3636363636,21.4848484848,21.4545454545,21.5757575758,21.7727272727,21.4242424242,21.5606060606,22.3787878788,22.2878787879,21.9242424242,21.2272727273,21.4848484848,21.3181818182,21.5303030303,21.5303030303,21.696969697,21.8484848485,21.4090909091,21.196969697,22.4696969697,21.5151515152,21.9242424242,21.2272727273,20.7727272727,20.7424242424,20.2121212121,20.5909090909,21.1363636364,20.8333333333,21.1818181818,20.8484848485,20.9090909091,21.0757575758,21.0757575758,20.6060606061,21.0151515152,20.9848484848,21.0757575758,21.196969697,21.0909090909,21.4393939394,20.8333333333,20.2424242424,20.5454545455,20.9090909091,20.5454545455,20.3636363636,20.803030303,20.5757575758,20.7575757576,20.8181818182,20.9696969697
21.6363636364,21.6818181818,21.696969697,21.2727272727,22.5757575758,21.3787878788,25.7424242424,22.0454545455,23.4696969697,22.8333333333,21.696969697,21.6666666667,21.8181818182,21.5757575758,21.9090909091,21.2878787879,21.7575757576,21.3787878788,21.5606060606,21.5606060606,21.7575757576,21.4545454545,22.0606060606,22.1060606061,22.0151515152,21.0909090909,21.2878787879,21.696969697,21.4545454545,21.5454545455,21.7272727273,21.6060606061,21.5,21.3636363636,22.4090909091,21.6060606061,21.4242424242,21.303030303,20.6515151515,21.0303030303,20.5,20.5454545455,21.2727272727,20.9696969697,21.0606060606,20.9393939394,21.0606060606,21.2727272727,20.8333333333,20.5909090909,21.1363636364,20.9545454545,21.2575757576,21.2575757576,21.1212121212,21.303030303,20.9848484848,20.3636363636,20.3939393939,20.6515151515,20.2272727273,20.1666666667,20.5151515152,20.3787878788,21.0606060606,21.0303030303,20.6212121212
21.4545454545,21.3333333333,21.4393939394,20.4090909091,23.1363636364,21.4242424242,26.6060606061,22.1363636364,23.2424242424,22.9393939394,22.0151515152,21.5303030303,22.0606060606,21.3787878788,21.7424242424,21.0151515152,21.5757575758,21.4848484848,21.4242424242,21.6212121212,21.5303030303,21.7575757576,22.4242424242,22.0909090909,21.6818181818,21.4242424242,21.3181818182,21.6363636364,21.696969697,21.4545454545,21.7272727273,21.5303030303,21.5,21.1818181818,22.2272727273,21.8484848485,21.5909090909,21.2424242424,20.9848484848,20.9848484848,20.5757575758,20.5757575758,21.1212121212,21.0454545455,21.196969697,21.1666666667,21.0606060606,21.1818181818,20.7575757576,20.8484848485,21.0606060606,21.0606060606,20.8939393939,21.1060606061,21.2121212121,21.2272727273,20.8181818182,20.1515151515,20.3787878788,20.5303030303,20.2727272727,20.1515151515,20.6666666667,20.696969697,20.6060606061,20.7878787879,20.3636363636
